from_city,to_city,country_from,country_to,distance_km,train_time,train_price,bus_time,bus_price,flight_time,flight_price,meta_title,meta_description,slug
London,Paris,United Kingdom,France,430,4h 5m,53,6h 44m,24,N/A (Too close),N/A,How to Get From London to Paris: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Paris (France) by train, bus, or flight. Distance: 430 km.",how-to-get-from-london-to-paris
London,Berlin,United Kingdom,Germany,1168,10h 13m,112,16h 34m,54,3h 33m,59,How to Get From London to Berlin: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Berlin (Germany) by train, bus, or flight. Distance: 1168 km.",how-to-get-from-london-to-berlin
London,Amsterdam,United Kingdom,Netherlands,449,4h 14m,55,6h 59m,25,N/A (Too close),N/A,How to Get From London to Amsterdam: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Amsterdam (Netherlands) by train, bus, or flight. Distance: 449 km.",how-to-get-from-london-to-amsterdam
London,Rome,United Kingdom,Italy,1794,15h 26m,163,24h 55m,79,4h 23m,78,How to Get From London to Rome: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Rome (Italy) by train, bus, or flight. Distance: 1794 km.",how-to-get-from-london-to-rome
London,Madrid,United Kingdom,Spain,1579,13h 39m,145,22h 3m,70,4h 6m,71,How to Get From London to Madrid: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Madrid (Spain) by train, bus, or flight. Distance: 1579 km.",how-to-get-from-london-to-madrid
London,Vienna,United Kingdom,Austria,1549,13h 24m,143,21h 39m,69,4h 3m,70,How to Get From London to Vienna: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Vienna (Austria) by train, bus, or flight. Distance: 1549 km.",how-to-get-from-london-to-vienna
London,Prague,United Kingdom,Czech Republic,1297,11h 18m,123,18h 17m,59,3h 43m,63,How to Get From London to Prague: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Prague (Czech Republic) by train, bus, or flight. Distance: 1297 km.",how-to-get-from-london-to-prague
London,Brussels,United Kingdom,Belgium,402,3h 51m,51,6h 21m,23,N/A (Too close),N/A,How to Get From London to Brussels: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Brussels (Belgium) by train, bus, or flight. Distance: 402 km.",how-to-get-from-london-to-brussels
London,Munich,United Kingdom,Germany,1151,10h 5m,111,16h 20m,53,3h 32m,59,How to Get From London to Munich: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Munich (Germany) by train, bus, or flight. Distance: 1151 km.",how-to-get-from-london-to-munich
London,Frankfurt,United Kingdom,Germany,800,7h 10m,83,11h 39m,39,3h 3m,48,How to Get From London to Frankfurt: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Frankfurt (Germany) by train, bus, or flight. Distance: 800 km.",how-to-get-from-london-to-frankfurt
London,Zurich,United Kingdom,Switzerland,972,8h 35m,97,13h 57m,46,3h 17m,53,How to Get From London to Zurich: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Zurich (Switzerland) by train, bus, or flight. Distance: 972 km.",how-to-get-from-london-to-zurich
London,Milan,United Kingdom,Italy,1201,10h 30m,115,17h 0m,55,3h 36m,60,How to Get From London to Milan: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Milan (Italy) by train, bus, or flight. Distance: 1201 km.",how-to-get-from-london-to-milan
London,Barcelona,United Kingdom,Spain,1424,12h 22m,133,19h 59m,64,3h 53m,67,How to Get From London to Barcelona: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Barcelona (Spain) by train, bus, or flight. Distance: 1424 km.",how-to-get-from-london-to-barcelona
London,Hannover,United Kingdom,Germany,855,7h 37m,87,12h 24m,41,3h 8m,50,How to Get From London to Hannover: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Hannover (Germany) by train, bus, or flight. Distance: 855 km.",how-to-get-from-london-to-hannover
London,Lisbon,United Kingdom,Portugal,1981,17h 0m,177,27h 24m,86,4h 38m,83,How to Get From London to Lisbon: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Lisbon (Portugal) by train, bus, or flight. Distance: 1981 km.",how-to-get-from-london-to-lisbon
London,Budapest,United Kingdom,Hungary,1817,15h 38m,164,25h 13m,80,4h 25m,79,How to Get From London to Budapest: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Budapest (Hungary) by train, bus, or flight. Distance: 1817 km.",how-to-get-from-london-to-budapest
London,Warsaw,United Kingdom,Poland,1816,15h 37m,164,25h 12m,80,4h 25m,78,How to Get From London to Warsaw: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Warsaw (Poland) by train, bus, or flight. Distance: 1816 km.",how-to-get-from-london-to-warsaw
London,Copenhagen,United Kingdom,Denmark,1198,10h 28m,115,16h 58m,55,3h 35m,60,How to Get From London to Copenhagen: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Copenhagen (Denmark) by train, bus, or flight. Distance: 1198 km.",how-to-get-from-london-to-copenhagen
London,Stockholm,United Kingdom,Sweden,1796,15h 28m,163,24h 56m,79,4h 23m,78,How to Get From London to Stockholm: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Stockholm (Sweden) by train, bus, or flight. Distance: 1796 km.",how-to-get-from-london-to-stockholm
London,Venice,United Kingdom,Italy,1425,12h 22m,133,20h 0m,64,3h 53m,67,How to Get From London to Venice: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Venice (Italy) by train, bus, or flight. Distance: 1425 km.",how-to-get-from-london-to-venice
London,Florence,United Kingdom,Italy,1513,13h 6m,140,21h 10m,68,4h 1m,69,How to Get From London to Florence: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Florence (Italy) by train, bus, or flight. Distance: 1513 km.",how-to-get-from-london-to-florence
London,Dublin,United Kingdom,Ireland,581,5h 20m,65,8h 44m,30,2h 46m,41,How to Get From London to Dublin: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Dublin (Ireland) by train, bus, or flight. Distance: 581 km.",how-to-get-from-london-to-dublin
London,Edinburgh,United Kingdom,United Kingdom,668,6h 3m,72,9h 54m,34,2h 53m,44,How to Get From London to Edinburgh: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Edinburgh (United Kingdom) by train, bus, or flight. Distance: 668 km.",how-to-get-from-london-to-edinburgh
London,Oslo,United Kingdom,Norway,1445,12h 32m,135,20h 15m,65,3h 55m,67,How to Get From London to Oslo: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Oslo (Norway) by train, bus, or flight. Distance: 1445 km.",how-to-get-from-london-to-oslo
London,Helsinki,United Kingdom,Finland,2283,19h 31m,202,31h 26m,98,5h 2m,92,How to Get From London to Helsinki: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Helsinki (Finland) by train, bus, or flight. Distance: 2283 km.",how-to-get-from-london-to-helsinki
London,Krakow,United Kingdom,Poland,1775,15h 17m,161,24h 40m,78,4h 22m,77,How to Get From London to Krakow: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Krakow (Poland) by train, bus, or flight. Distance: 1775 km.",how-to-get-from-london-to-krakow
London,Geneva,United Kingdom,Switzerland,934,8h 16m,94,13h 27m,44,3h 14m,52,How to Get From London to Geneva: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Geneva (Switzerland) by train, bus, or flight. Distance: 934 km.",how-to-get-from-london-to-geneva
London,Lyon,United Kingdom,France,920,8h 10m,93,13h 16m,44,3h 13m,52,How to Get From London to Lyon: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Lyon (France) by train, bus, or flight. Distance: 920 km.",how-to-get-from-london-to-lyon
London,Marseille,United Kingdom,France,1253,10h 56m,119,17h 42m,57,3h 40m,62,How to Get From London to Marseille: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Marseille (France) by train, bus, or flight. Distance: 1253 km.",how-to-get-from-london-to-marseille
London,Valencia,United Kingdom,Spain,1673,14h 26m,153,23h 18m,74,4h 13m,74,How to Get From London to Valencia: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Valencia (Spain) by train, bus, or flight. Distance: 1673 km.",how-to-get-from-london-to-valencia
London,Porto,United Kingdom,Portugal,1652,14h 16m,151,23h 1m,73,4h 12m,74,How to Get From London to Porto: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Porto (Portugal) by train, bus, or flight. Distance: 1652 km.",how-to-get-from-london-to-porto
London,Athens,United Kingdom,Greece,2994,25h 26m,259,40h 55m,127,5h 59m,114,How to Get From London to Athens: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Athens (Greece) by train, bus, or flight. Distance: 2994 km.",how-to-get-from-london-to-athens
London,Hamburg,United Kingdom,Germany,904,8h 1m,91,13h 3m,43,3h 12m,51,How to Get From London to Hamburg: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from London (United Kingdom) to Hamburg (Germany) by train, bus, or flight. Distance: 904 km.",how-to-get-from-london-to-hamburg
Paris,London,France,United Kingdom,430,4h 5m,53,6h 44m,24,N/A (Too close),N/A,How to Get From Paris to London: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to London (United Kingdom) by train, bus, or flight. Distance: 430 km.",how-to-get-from-paris-to-london
Paris,Berlin,France,Germany,1100,9h 39m,107,15h 39m,51,3h 28m,57,How to Get From Paris to Berlin: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Berlin (Germany) by train, bus, or flight. Distance: 1100 km.",how-to-get-from-paris-to-berlin
Paris,Amsterdam,France,Netherlands,538,4h 59m,62,8h 10m,29,2h 43m,40,How to Get From Paris to Amsterdam: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Amsterdam (Netherlands) by train, bus, or flight. Distance: 538 km.",how-to-get-from-paris-to-amsterdam
Paris,Rome,France,Italy,1383,12h 1m,130,19h 26m,62,3h 50m,65,How to Get From Paris to Rome: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Rome (Italy) by train, bus, or flight. Distance: 1383 km.",how-to-get-from-paris-to-rome
Paris,Madrid,France,Spain,1316,11h 28m,124,18h 32m,60,3h 45m,63,How to Get From Paris to Madrid: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Madrid (Spain) by train, bus, or flight. Distance: 1316 km.",how-to-get-from-paris-to-madrid
Paris,Vienna,France,Austria,1296,11h 18m,123,18h 16m,59,3h 43m,63,How to Get From Paris to Vienna: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Vienna (Austria) by train, bus, or flight. Distance: 1296 km.",how-to-get-from-paris-to-vienna
Paris,Prague,France,Czech Republic,1107,9h 43m,108,15h 45m,51,3h 28m,57,How to Get From Paris to Prague: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Prague (Czech Republic) by train, bus, or flight. Distance: 1107 km.",how-to-get-from-paris-to-prague
Paris,Brussels,France,Belgium,330,3h 15m,45,5h 24m,20,N/A (Too close),N/A,How to Get From Paris to Brussels: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Brussels (Belgium) by train, bus, or flight. Distance: 330 km.",how-to-get-from-paris-to-brussels
Paris,Munich,France,Germany,858,7h 39m,88,12h 26m,41,3h 8m,50,How to Get From Paris to Munich: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Munich (Germany) by train, bus, or flight. Distance: 858 km.",how-to-get-from-paris-to-munich
Paris,Frankfurt,France,Germany,599,5h 29m,67,8h 59m,31,2h 47m,42,How to Get From Paris to Frankfurt: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Frankfurt (Germany) by train, bus, or flight. Distance: 599 km.",how-to-get-from-paris-to-frankfurt
Paris,Zurich,France,Switzerland,611,5h 35m,68,9h 8m,31,2h 48m,42,How to Get From Paris to Zurich: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Zurich (Switzerland) by train, bus, or flight. Distance: 611 km.",how-to-get-from-paris-to-zurich
Paris,Milan,France,Italy,801,7h 10m,83,11h 40m,39,3h 4m,48,How to Get From Paris to Milan: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Milan (Italy) by train, bus, or flight. Distance: 801 km.",how-to-get-from-paris-to-milan
Paris,Barcelona,France,Spain,1038,9h 9m,102,14h 50m,49,3h 23m,55,How to Get From Paris to Barcelona: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Barcelona (Spain) by train, bus, or flight. Distance: 1038 km.",how-to-get-from-paris-to-barcelona
Paris,Hannover,France,Germany,815,7h 17m,84,11h 52m,40,3h 5m,48,How to Get From Paris to Hannover: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Hannover (Germany) by train, bus, or flight. Distance: 815 km.",how-to-get-from-paris-to-hannover
Paris,Lisbon,France,Portugal,1817,15h 38m,164,25h 13m,80,4h 25m,79,How to Get From Paris to Lisbon: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Lisbon (Portugal) by train, bus, or flight. Distance: 1817 km.",how-to-get-from-paris-to-lisbon
Paris,Budapest,France,Hungary,1560,13h 30m,144,21h 48m,69,4h 4m,71,How to Get From Paris to Budapest: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Budapest (Hungary) by train, bus, or flight. Distance: 1560 km.",how-to-get-from-paris-to-budapest
Paris,Warsaw,France,Poland,1713,14h 46m,156,23h 50m,76,4h 17m,75,How to Get From Paris to Warsaw: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Warsaw (Poland) by train, bus, or flight. Distance: 1713 km.",how-to-get-from-paris-to-warsaw
Paris,Copenhagen,France,Denmark,1286,11h 13m,122,18h 8m,58,3h 42m,63,How to Get From Paris to Copenhagen: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Copenhagen (Denmark) by train, bus, or flight. Distance: 1286 km.",how-to-get-from-paris-to-copenhagen
Paris,Stockholm,France,Sweden,1933,16h 36m,174,26h 46m,84,4h 34m,82,How to Get From Paris to Stockholm: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Stockholm (Sweden) by train, bus, or flight. Distance: 1933 km.",how-to-get-from-paris-to-stockholm
Paris,Venice,France,Italy,1058,9h 18m,104,15h 6m,49,3h 24m,56,How to Get From Paris to Venice: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Venice (Italy) by train, bus, or flight. Distance: 1058 km.",how-to-get-from-paris-to-venice
Paris,Florence,France,Italy,1110,9h 45m,108,15h 48m,51,3h 28m,57,How to Get From Paris to Florence: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Florence (Italy) by train, bus, or flight. Distance: 1110 km.",how-to-get-from-paris-to-florence
Paris,Dublin,France,Ireland,978,8h 39m,97,14h 2m,46,3h 18m,53,How to Get From Paris to Dublin: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Dublin (Ireland) by train, bus, or flight. Distance: 978 km.",how-to-get-from-paris-to-dublin
Paris,Edinburgh,France,United Kingdom,1093,9h 36m,106,15h 34m,51,3h 27m,57,How to Get From Paris to Edinburgh: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Edinburgh (United Kingdom) by train, bus, or flight. Distance: 1093 km.",how-to-get-from-paris-to-edinburgh
Paris,Oslo,France,Norway,1680,14h 30m,153,23h 23m,74,4h 14m,74,How to Get From Paris to Oslo: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Oslo (Norway) by train, bus, or flight. Distance: 1680 km.",how-to-get-from-paris-to-oslo
Paris,Helsinki,France,Finland,2391,20h 25m,210,32h 52m,103,5h 11m,96,How to Get From Paris to Helsinki: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Helsinki (Finland) by train, bus, or flight. Distance: 2391 km.",how-to-get-from-paris-to-helsinki
Paris,Krakow,France,Poland,1599,13h 49m,147,22h 19m,71,4h 7m,72,How to Get From Paris to Krakow: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Krakow (Poland) by train, bus, or flight. Distance: 1599 km.",how-to-get-from-paris-to-krakow
Paris,Geneva,France,Switzerland,513,4h 46m,60,7h 50m,28,2h 41m,39,How to Get From Paris to Geneva: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Geneva (Switzerland) by train, bus, or flight. Distance: 513 km.",how-to-get-from-paris-to-geneva
Paris,Lyon,France,France,490,4h 34m,58,7h 31m,27,N/A (Too close),N/A,How to Get From Paris to Lyon: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Lyon (France) by train, bus, or flight. Distance: 490 km.",how-to-get-from-paris-to-lyon
Paris,Marseille,France,France,826,7h 23m,85,12h 0m,40,3h 6m,49,How to Get From Paris to Marseille: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Marseille (France) by train, bus, or flight. Distance: 826 km.",how-to-get-from-paris-to-marseille
Paris,Valencia,France,Spain,1332,11h 35m,126,18h 45m,60,3h 46m,64,How to Get From Paris to Valencia: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Valencia (Spain) by train, bus, or flight. Distance: 1332 km.",how-to-get-from-paris-to-valencia
Paris,Porto,France,Portugal,1519,13h 9m,141,21h 15m,68,4h 1m,70,How to Get From Paris to Porto: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Porto (Portugal) by train, bus, or flight. Distance: 1519 km.",how-to-get-from-paris-to-porto
Paris,Athens,France,Greece,2624,22h 22m,229,35h 59m,112,5h 29m,103,How to Get From Paris to Athens: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Athens (Greece) by train, bus, or flight. Distance: 2624 km.",how-to-get-from-paris-to-athens
Paris,Hamburg,France,Germany,933,8h 16m,94,13h 26m,44,3h 14m,52,How to Get From Paris to Hamburg: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Paris (France) to Hamburg (Germany) by train, bus, or flight. Distance: 933 km.",how-to-get-from-paris-to-hamburg
Berlin,London,Germany,United Kingdom,1168,10h 13m,112,16h 34m,54,3h 33m,59,How to Get From Berlin to London: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to London (United Kingdom) by train, bus, or flight. Distance: 1168 km.",how-to-get-from-berlin-to-london
Berlin,Paris,Germany,France,1100,9h 39m,107,15h 39m,51,3h 28m,57,How to Get From Berlin to Paris: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Paris (France) by train, bus, or flight. Distance: 1100 km.",how-to-get-from-berlin-to-paris
Berlin,Amsterdam,Germany,Netherlands,722,6h 30m,77,10h 37m,36,2h 57m,46,How to Get From Berlin to Amsterdam: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Amsterdam (Netherlands) by train, bus, or flight. Distance: 722 km.",how-to-get-from-berlin-to-amsterdam
Berlin,Rome,Germany,Italy,1478,12h 48m,137,20h 42m,66,3h 58m,68,How to Get From Berlin to Rome: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Rome (Italy) by train, bus, or flight. Distance: 1478 km.",how-to-get-from-berlin-to-rome
Berlin,Madrid,Germany,Spain,2339,19h 59m,206,32h 11m,101,5h 7m,94,How to Get From Berlin to Madrid: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Madrid (Spain) by train, bus, or flight. Distance: 2339 km.",how-to-get-from-berlin-to-madrid
Berlin,Vienna,Germany,Austria,655,5h 57m,71,9h 43m,33,2h 52m,44,How to Get From Berlin to Vienna: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Vienna (Austria) by train, bus, or flight. Distance: 655 km.",how-to-get-from-berlin-to-vienna
Berlin,Prague,Germany,Czech Republic,352,3h 25m,47,5h 41m,21,N/A (Too close),N/A,How to Get From Berlin to Prague: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Prague (Czech Republic) by train, bus, or flight. Distance: 352 km.",how-to-get-from-berlin-to-prague
Berlin,Brussels,Germany,Belgium,816,7h 17m,84,11h 52m,40,3h 5m,48,How to Get From Berlin to Brussels: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Brussels (Belgium) by train, bus, or flight. Distance: 816 km.",how-to-get-from-berlin-to-brussels
Berlin,Munich,Germany,Germany,631,5h 45m,69,9h 24m,32,2h 50m,43,How to Get From Berlin to Munich: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Munich (Germany) by train, bus, or flight. Distance: 631 km.",how-to-get-from-berlin-to-munich
Berlin,Frankfurt,Germany,Germany,531,4h 55m,61,8h 4m,28,2h 42m,40,How to Get From Berlin to Frankfurt: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Frankfurt (Germany) by train, bus, or flight. Distance: 531 km.",how-to-get-from-berlin-to-frankfurt
Berlin,Zurich,Germany,Switzerland,837,7h 28m,86,12h 9m,40,3h 6m,49,How to Get From Berlin to Zurich: Budget Travel Guide,"Discover the cheapest and fastest ways to travel from Berlin (Germany) to Zurich (Switzerland) by train, bus, or flight. Distance: 837 km.",how-to-get-from-berlin-to-zurich
